# r, g_tt, g_rr, gtt, grr, dgtt/dr, dgrr/dr
2.120368383324477080e+00 -2.664255312230438544e-01 1.880216314717006343e+00 -3.753394036260092825e+00 5.318536979882079185e-01 1.597032351405836437e+00 2.262809787074262780e-01
2.129718879294132172e+00 -2.674808431566960687e-01 1.872798159165129261e+00 -3.738585493444771313e+00 5.339603710662487179e-01 1.570705817402361371e+00 2.243314296512614048e-01
2.139152209024124396e+00 -2.685363836800567228e-01 1.865436720447839258e+00 -3.723890171960584805e+00 5.360675004617299066e-01 1.545198575391280693e+00 2.224204504341818767e-01
2.148524414223555556e+00 -2.695761330269830225e-01 1.858241771948847099e+00 -3.709527207662355330e+00 5.381431066159068077e-01 1.520096278024994252e+00 2.205180658583769104e-01
2.157979105154041566e+00 -2.706161120130990416e-01 1.851100540936430505e+00 -3.695271477226734547e+00 5.402191711824158027e-01 1.495763661770097341e+00 2.186529376450949969e-01
2.167372153004537338e+00 -2.716405540790465811e-01 1.844119458728035843e+00 -3.681335444887227748e+00 5.422642200683358560e-01 1.471810400972254573e+00 2.167961490142183145e-01
2.176847328678228610e+00 -2.726652267934511764e-01 1.837189280332825358e+00 -3.667501029595966688e+00 5.443097293811990367e-01 1.448583748288702289e+00 2.149755808754013064e-01
2.186261022722106873e+00 -2.736746845876419365e-01 1.830412749969045905e+00 -3.653973335190813909e+00 5.463248658079501441e-01 1.425712777805740128e+00 2.131631057471047863e-01
2.195756488714284416e+00 -2.746843740321934235e-01 1.823684488827975292e+00 -3.640541998514988276e+00 5.483404646615537281e-01 1.403528196288647889e+00 2.113858410503478558e-01
2.205190030647286026e+00 -2.756790987445350560e-01 1.817104143045774167e+00 -3.627405938840053690e+00 5.503261900684628394e-01 1.381677376666584411e+00 2.096164310274578613e-01
2.214704980236490872e+00 -2.766740560719019304e-01 1.810569591635431630e+00 -3.614361296456797046e+00 5.523123798277926877e-01 1.360473983295638956e+00 2.078811322377573378e-01
2.224159514586305786e+00 -2.776544953668256821e-01 1.804176202138556784e+00 -3.601598449464472829e+00 5.542695878676722199e-01 1.339584077458278122e+00 2.061534587923561646e-01
2.233695117478647685e+00 -2.786351683003834290e-01 1.797826298299795234e+00 -3.588922410978456323e+00 5.562272623032048502e-01 1.319306446580055692e+00 2.044589324026665489e-01
2.243168783554082335e+00 -2.796014472773746262e-01 1.791613163395582742e+00 -3.576519398370511027e+00 5.581562027065789522e-01 1.299323498653070397e+00 2.027718098017625148e-01
2.252723152339089818e+00 -2.805679608264346481e-01 1.785441332006438175e+00 -3.564198838151094062e+00 5.600856113688277294e-01 1.279919119042701503e+00 2.011168233125717741e-01
2.262218032252534705e+00 -2.815206019413317162e-01 1.779399555459256321e+00 -3.552137900757962541e+00 5.619873270913028351e-01 1.260791989099724564e+00 1.994690272339908199e-01
2.271793289848165198e+00 -2.824734786674886200e-01 1.773397051523714962e+00 -3.540155361548621649e+00 5.638895131469814359e-01 1.242211868774860228e+00 1.978523843259669401e-01
2.281307607003222770e+00 -2.834126025376000890e-01 1.767520674712101503e+00 -3.528424604432792933e+00 5.657642449714952448e-01 1.223892823212864966e+00 1.962427263339195094e-01
2.290901951627941635e+00 -2.843519629718479491e-01 1.761681647931008010e+00 -3.516768407535151297e+00 5.676394490312375307e-01 1.206092426565939180e+00 1.946633697107331140e-01
2.300436675948306586e+00 -2.852779588428548396e-01 1.755963331395026472e+00 -3.505353179250869644e+00 5.694879739917741990e-01 1.188538051593128309e+00 1.930907992474546198e-01
2.310051098939513103e+00 -2.862041922814588801e-01 1.750280564577619824e+00 -3.494008917299786354e+00 5.713369731905361126e-01 1.171474827527680063e+00 1.915476214568011815e-01
2.319605478382399610e+00 -2.871172711569531799e-01 1.744714393185254009e+00 -3.482897409725478344e+00 5.731597125042000584e-01 1.154643629337773980e+00 1.900110382694412681e-01
2.329239219961093621e+00 -2.880305885680396472e-01 1.739182071889919134e+00 -3.471853475603256189e+00 5.749829279882863187e-01 1.138279005903712005e+00 1.885030761420506129e-01
2.338812912375621611e+00 -2.889309965295475124e-01 1.733762185730731931e+00 -3.461033990853712439e+00 5.767803728967177967e-01 1.122133352584477883e+00 1.870015230704796805e-01
2.348465629619691519e+00 -2.898316439795423638e-01 1.728374546928245881e+00 -3.450278880074891141e+00 5.785782958776211071e-01 1.106429553112634467e+00 1.855276869945144402e-01
2.358059919555422823e+00 -2.907197713776027426e-01 1.723094491497063618e+00 -3.439738533301009316e+00 5.803512256203531283e-01 1.090932578434819611e+00 1.840600815496463705e-01
2.367732923012337398e+00 -2.916081392837259201e-01 1.717845181369774599e+00 -3.429259562014591811e+00 5.821246354707124704e-01 1.075855220971556170e+00 1.826194087334048477e-01
2.377346326552439493e+00 -2.924841102582838581e-01 1.712700347250825983e+00 -3.418989151639486579e+00 5.838732978627401149e-01 1.060973356140203494e+00 1.811847941965222253e-01
2.387038112487379848e+00 -2.933603226879060721e-01 1.707584832564424726e+00 -3.408777270346333488e+00 5.856224422526729034e-01 1.046491165383967470e+00 1.797764433940761131e-01
2.396670713106979544e+00 -2.942244027632208159e-01 1.702569987696932907e+00 -3.398766351833695687e+00 5.873473673482876301e-01 1.032193861131401436e+00 1.783739836140944834e-01
2.406381371083003540e+00 -2.950887252467974120e-01 1.697583117328213209e+00 -3.388811277569653502e+00 5.890727763444518761e-01 1.018275600316144169e+00 1.769969542158729425e-01
